
2025/05/06 (14:39:03) | ===> btop++ v.1.3.0
2025/05/06 (14:39:03) | WARNING: Failed to join _runner thread on exit!

2025/05/06 (18:38:59) | ===> btop++ v.1.3.0
2025/05/06 (18:38:59) | WARNING: Failed to join _runner thread on exit!

2025/05/06 (18:56:12) | ===> btop++ v.1.3.0
2025/05/06 (18:56:12) | WARNING: Failed to join _runner thread on exit!

2025/05/06 (19:53:23) | ===> btop++ v.1.3.0
2025/05/06 (19:53:23) | WARNING: Failed to join _runner thread on exit!

2025/05/06 (20:01:43) | ===> btop++ v.1.3.0
2025/05/06 (20:01:43) | WARNING: Failed to join _runner thread on exit!

2025/05/06 (20:07:05) | ===> btop++ v.1.3.0
2025/05/06 (20:07:05) | WARNING: Failed to join _runner thread on exit!

2025/05/06 (20:15:08) | ===> btop++ v.1.3.0
2025/05/06 (20:15:08) | WARNING: Failed to join _runner thread on exit!
